Cov_ID,pred_xgb
PSX000424830A,0.9999188
PSX000428995A,0.9999188
PSX000539489A,0.9999188
PSX000771852A,0.9999188
PSX000287942B,0.9999188
PSX000371298A,0.9999188
PSX000653863A,0.9999188
PSX000931533B,0.9999188
PSX00053616A,0.9999188
PSX000860266A,0.9999188
PSX000602071A,0.9999188
PSX00062604B,0.9999188
PSX000991835A,0.9999188
PSX000844965A,0.9999188
PSX000238778C,0.9999188
PSX000827486A,0.9999188
PSX000921259A,0.9999188
PSX000572892A,0.9999188
PSX000575437A,0.9999188
PSX000383146A,0.9999188
PSX00090156B,0.9999188
PSX000620270B,0.9999188
PSX000464056A,0.9999188
PSX000726442A,0.9999188
PSX000553031A,0.9999188
PSX000488312C,0.9999188
PSX000692564B,0.9999188
PSX000686180A,0.9999188
PSX000992165C,0.9999188
PSX000711322A,0.9999188
PSX000611832B,0.9999188
PSX000617783A,0.9999188
PSX00039874A,0.9999188
PSX000370996B,0.9999188
PSX000823547B,0.9999188
PSX000282616A,0.9999188
PSX000607389A,0.9999188
PSX000373011A,0.9999188
PSX000986589A,0.9999188
PSX000475729A,0.9999188
PSX000562149A,0.9999188
PSX000388314A,0.9999188
PSX000974420B,0.9999188
PSX000667562A,0.9999188
PSX000658520A,0.9999188
PSX000753601A,0.9999188
PSX000814517A,0.9999188
PSX000339357A,0.9999188
PSX000321450A,0.9999188
PSX000999314A,0.9999188
PSX000800481A,0.9999188
PSX000845063A,0.9999188
PSX000957304A,0.9999188
PSX000755240A,0.9999188
PSX000407229B,0.9999188
PSX000711530A,0.9999188
PSX000485095A,0.9999188
PSX000516290B,0.9999188
PSX000420380A,0.9999188
PSX000782638A,0.9999188
PSX000447922A,0.9999188
PSX00039928C,0.9999188
PSX000548780A,0.9999188
PSX000445752B,0.9999188
PSX000504242A,0.9999188
PSX000313190C,0.9999188
PSX000555724A,0.9999188
PSX000239432A,0.9999188
PSX000619447B,0.9999188
PSX000922395A,0.9999188
PSX000921021B,0.9999188
PSX000734144A,0.9999188
PSX000447462B,0.9999188
PSX000486902A,0.9999188
PSX000805097A,0.9999188
PSX000318095B,0.9999188
PSX000481349A,0.9999188
PSX000267294A,0.9999188
PSX000833041A,0.9999188
PSX000820486A,0.9999188
PSX000716139A,0.9999188
PSX000811727A,0.9999188
PSX000339352B,0.9999188
PSX000706490A,0.9999188
PSX000238630A,0.9999188
PSX000528111A,0.9999188
PSX000581802A,0.9999188
PSX000972771B,0.9999188
PSX00030024A,0.9999188
PSX000974426A,0.9999188
PSX000169011C,0.9999188
PSX000363673A,0.9999188
PSX000380709B,0.9999188
PSX000408097A,0.9999188
PSX000643185A,0.9999188
PSX000946831A,0.9999188
PSX00034229A,0.9999188
PSX000839591A,0.9999188
PSX000787915A,0.9999188
PSX000491135A,0.9999188
PSX000382078A,0.9999188
PSX00034770A,0.9999188
PSX000787278A,0.9999188
PSX000649551A,0.9999188
PSX000619607A,0.9999188
PSX000527090A,0.9999188
PSX000319948A,0.9999188
PSX000837795A,0.9999188
PSX000844467A,0.9999188
PSX000414063B,0.9999188
PSX000686371A,0.9999188
PSX000323417A,0.9999188
PSX000958061A,0.9999188
PSX000846298B,0.9999188
PSX000796372A,0.9999188
PSX000541407A,0.9999188
PSX000394606A,0.9999188
PSX000593988A,0.9999188
PSX000305789A,0.9999188
PSX000679110A,0.9999188
PSX000572273B,0.9999188
PSX000313698A,0.9999188
PSX000790059A,0.9999188
PSX000286931A,0.9999188
PSX000741775A,0.9999188
PSX000842653A,0.9999188
PSX000330563B,0.9999188
PSX00032136A,0.9999188
PSX00028485B,0.9999188
PSX000968075A,0.9999188
PSX000676901A,0.9999188
PSX000515760A,0.9999188
PSX000879936B,0.9999188
PSX000735830A,0.9999188
PSX000602955A,0.9999188
PSX000499945A,0.9999188
PSX000657314A,0.9999188
PSX000401810A,0.9999188
PSX000389290A,0.9999188
PSX000805426A,0.9999188
PSX000697014B,0.9999188
PSX000625421A,0.9999188
PSX000457953A,0.9999188
PSX000476782A,0.9999188
PSX000351902A,0.9999188
PSX000476325A,0.9999188
PSX000870048A,0.9999188
PSX000517496A,0.9999188
PSX000750515A,0.9999188
PSX000727017A,0.9999188
PSX000900231C,0.9999188
PSX000537610A,0.9999188
PSX000590012A,0.9999188
PSX000953345A,0.9999188
PSX000350936A,0.9999188
PSX00050744C,0.9999188
PSX000808233A,0.9999188
PSX000791133A,0.9999188
PSX000544369B,0.9999188
PSX000255925A,0.9999188
PSX000543177A,0.9999188
PSX000902846A,0.9999188
PSX000897612B,0.9999188
PSX00062726A,0.9999188
PSX000573056A,0.9999188
PSX000933495A,0.9999188
PSX000437010A,0.9999188
PSX000585890A,0.9999188
PSX000962951A,0.9999188
PSX000550338A,0.9999188
PSX000767516A,0.9999188
PSX000527764A,0.9999188
PSX000502487B,0.9999188
PSX000902867A,0.9999188
PSX000711725A,0.9999188
PSX000802237A,0.9999188
PSX000519389A,0.9999188
PSX000487770B,0.9999188
PSX000660558A,0.9999188
PSX000499803A,0.9999188
PSX000736270A,0.9999188
PSX000890026A,0.9999188
PSX000463759A,0.9999188
PSX000862315A,0.9999188
PSX000656533A,0.9999188
PSX000789341C,0.9999188
PSX000394446A,0.9999188
PSX000445752A,0.9999188
PSX000662701A,0.9999188
PSX000806930A,0.9999188
PSX000653332A,0.9999188
PSX000325205B,0.9999188
PSX000598435B,0.9999188
PSX000898350A,0.9999188
PSX000947156B,0.9999188
PSX000944521A,0.9999188
PSX000293022A,0.9999188
PSX000715928B,0.9999188
PSX000891789A,0.9999188
PSX000397173A,0.9999188
PSX00067675A,0.9999188
PSX000668764A,0.9999188
PSX000992583A,0.9999188
PSX000579741A,0.9999188
PSX000669365A,0.9999188
PSX000459209B,0.9999188
PSX000782799B,0.9999188
PSX000469062A,0.9999188
PSX000425470B,0.9999188
PSX000294823A,0.9999188
PSX000647516A,0.9999188
PSX000780273A,0.9999188
PSX00042712A,0.9999188
PSX000394293A,0.9999188
PSX000282078A,0.9999188
PSX000611347A,0.9999188
PSX000468568A,0.9999188
PSX000286648A,0.9999188
PSX000778958A,0.9999188
PSX000252333A,0.9999188
PSX00049045C,0.9999188
PSX000667517B,0.9999188
PSX000698504A,0.9999188
PSX000951544B,0.9999188
PSX000979879A,0.9999188
PSX000360426A,0.9999188
PSX000945989A,0.9999188
PSX000412024A,0.9999188
PSX000438777A,0.9999188
PSX000957304B,0.9999188
PSX000822461A,0.9999188
PSX000268238A,0.9999188
PSX000999804A,0.9999188
PSX000267971A,0.9999188
PSX000826901C,0.9999188
PSX000731906A,0.9999188
PSX000899550A,0.9999188
PSX000365680A,0.9999188
PSX000323490B,0.9999188
PSX000541407C,0.9999188
PSX000595529A,0.9999188
PSX00039685A,0.9999188
PSX000682748A,0.9999188
PSX000625511A,0.9999188
PSX000613667A,0.9999188
PSX000253126A,0.9999188
PSX000769962A,0.9999188
PSX000882373A,0.9999188
PSX000915456A,0.9999188
PSX000297811A,0.9999188
PSX000968732A,0.9999188
PSX000927481A,0.9999188
PSX000833625B,0.9999188
PSX000550530A,0.9999188
PSX000863783A,0.9999188
PSX000417328C,0.9999188
PSX000253191A,0.9999188
PSX000444963A,0.9999188
PSX000282274A,0.9999188
PSX000458583A,0.9999188
PSX000438673A,0.9999188
PSX000753178A,0.9999188
PSX000303571B,0.9999188
PSX000555083C,0.9999188
PSX000706914B,0.9999188
PSX000620426A,0.9999188
PSX000842714A,0.9999188
PSX000551976A,0.9999188
PSX000874092A,0.9999188
PSX000965462A,0.9999188
PSX000965462B,0.9999188
PSX000846848A,0.9999188
PSX000920082A,0.9999188
PSX000804867B,0.9999188
PSX000635479A,0.9999188
PSX00094409C,0.9999188
PSX000239743A,0.9999188
PSX000914845A,0.9999188
PSX000405861B,0.9999188
PSX000303571A,0.9999188
PSX000321256A,0.9999188
PSX000695269A,0.9999188
PSX000556047A,0.9999188
PSX000874825A,0.9999188
PSX000404244A,0.9999188
PSX000481914A,0.9999188
PSX000654123B,0.9999188
PSX000395536A,0.9999188
PSX000425413B,0.9999188
PSX000754652A,0.9999188
PSX000276776A,0.9999188
PSX000911576A,0.9999188
PSX000245256A,0.9999188
PSX000304287B,0.9999188
PSX000468905A,0.9999188
PSX000761158A,0.9999188
PSX000458578A,0.9999188
PSX000968060A,0.9999188
PSX000761331A,0.9999188
PSX000388276A,0.9999188
PSX000606519A,0.9999188
PSX00065056A,0.9999188
PSX000289396A,0.9999188
PSX000694475A,0.9999188
PSX000787805A,0.9999188
PSX000704209A,0.9999188
PSX000292405A,0.9999188
PSX000470785A,0.9999188
PSX0008665B,0.9999188
PSX000400048A,0.9999188
PSX000749392A,0.9999188
PSX000920082B,0.9999188
PSX000375664B,0.9999188
PSX000254575A,0.9999188
PSX000812024A,0.9999188
PSX000852849B,0.9999188
PSX000978534A,0.9999188
PSX000578184A,0.9999188
PSX00050744A,0.9999188
PSX000717014A,0.9999188
PSX000270078A,0.9999188
PSX00031575B,0.9999188
PSX000653255A,0.9999188
PSX000346934A,0.9999188
PSX000236065A,0.9999188
PSX000472053B,0.9999188
PSX000275580A,0.9999188
PSX00038893A,0.9999188
PSX000321439A,0.9999188
PSX000505743A,0.9999188
PSX000740575A,0.9999188
PSX000746518A,0.9999188
PSX000687513A,0.9999188
PSX000302275B,0.9999188
PSX000501309A,0.9999188
PSX000506134A,0.9999188
PSX000908697A,0.9999188
PSX000720125A,0.9999188
PSX000813517A,0.9999188
PSX000284118A,0.9999188
PSX000266640A,0.9999188
PSX000457464A,0.9999188
PSX000599138C,0.9999188
PSX00053775A,0.9999188
PSX000359401B,0.9999188
PSX000718441A,0.9999188
PSX000725974A,0.9999188
PSX00023577A,0.9999188
PSX000672275A,0.9999188
PSX0005482B,0.9999188
PSX000239666A,0.9999188
PSX000656434A,0.9999188
PSX000387871A,0.9999188
PSX000752568A,0.9999188
PSX000308298A,0.9999188
PSX000728905B,0.9999188
PSX000735727A,0.9999188
PSX000738570A,0.9999188
PSX000288296A,0.9999188
PSX000880761A,0.9999188
PSX00054345A,0.9999188
PSX00088775A,0.9999188
PSX000405777A,0.9999188
PSX000761158B,0.9999188
PSX000714722A,0.9999188
PSX000665484A,0.9999188
PSX00038223B,0.9999188
PSX00083241B,0.9999188
PSX000893676A,0.9999188
PSX000649513A,0.9999188
PSX000457745A,0.9999188
PSX000840910C,0.9999188
PSX000405294A,0.9999188
PSX000915119A,0.9999188
PSX000924274A,0.9999188
PSX000236939A,0.9999188
PSX000779911A,0.9999188
PSX000303340A,0.9999188
PSX000767467A,0.9999188
PSX000710684A,0.9999188
PSX00070416C,0.9999188
PSX000443075A,0.9999188
PSX000376063A,0.9999188
PSX000733992A,0.9999188
PSX000447704A,0.9999188
PSX000858223A,0.9999188
PSX000318758B,0.9999188
PSX000504852A,0.9999188
PSX000759835A,0.9999188
PSX000563601A,0.9999188
PSX000550338B,0.9999188
PSX000357933A,0.9999188
PSX000625606C,0.9999188
PSX000782792A,0.9999188
PSX000554818A,0.9999188
PSX000465765A,0.9999188
PSX000682467A,0.9999188
PSX000306403A,0.9999188
PSX000488918A,0.9999188
PSX000481819B,0.9999188
PSX000850523A,0.9999188
PSX000856663C,0.9999188
PSX000488189A,0.9999188
PSX000890486A,0.9999188
PSX000921181A,0.9999188
PSX000289738A,0.9999188
PSX00041263A,0.9999188
PSX000703327A,0.9999188
PSX00032044A,0.9999188
PSX000711453A,0.9999188
PSX000481819A,0.9999188
PSX000579476B,0.9999188
PSX000665165A,0.9999188
PSX000877019A,0.9999188
PSX000958868A,0.9999188
PSX000325315A,0.9999188
PSX000245305A,0.9999188
PSX000551976B,0.9999188
PSX000469251B,0.9999188
PSX000381136B,0.9999188
PSX000926093A,0.9999188
PSX000774508A,0.9999188
PSX000298916A,0.9999188
PSX000255716A,0.9999188
PSX000967748A,0.9999188
PSX000476420A,0.9999188
PSX000921893A,0.9999188
PSX000985136B,0.9999188
PSX000851805B,0.9999188
PSX000731462A,0.9999188
PSX000854000B,0.9999188
PSX000551651B,0.9999188
PSX00045258A,0.9999188
PSX000527137A,0.9999188
PSX000517495B,0.9999188
PSX000513326B,0.9999188
PSX000818840B,0.9999188
PSX000286931B,0.9999188
PSX000504957A,0.9999188
PSX000970625A,0.9999188
PSX000562134B,0.9999188
PSX000702999A,0.9999188
PSX00068763A,0.9999188
PSX000688843A,0.9999188
PSX000943980A,0.9999188
PSX000577112A,0.9999188
PSX000407446A,0.9999188
PSX000319796B,0.9999188
PSX000668413A,0.9999188
PSX000530771A,0.9999188
PSX000984088A,0.9999188
PSX000818844A,0.9999188
PSX00072389A,0.9999188
PSX000737745A,0.9999188
PSX000517390A,0.9999188
PSX000784158A,0.9999188
PSX000554203A,0.9999188
PSX000409424A,0.9999188
PSX000579813B,0.9999188
PSX00025618A,0.9999188
PSX000795146A,0.9999188
PSX00025306A,0.9999188
PSX000630116A,0.9999188
PSX00079630B,0.9999188
PSX000617609A,0.9999188
PSX000855692A,0.9999188
PSX000490596A,0.9999188
PSX000477129A,0.9999188
PSX000750859A,0.9999188
PSX000936860A,0.9999188
PSX000633169A,0.9999188
PSX00050744B,0.9999188
PSX000410184C,0.9999188
PSX000743855A,0.9999188
PSX000502767C,0.9999188
PSX000261992A,0.9999188
PSX000681257A,0.9999188
PSX000354487A,0.9999188
PSX000902243A,0.9999188
PSX000762579A,0.9999188
PSX000984088B,0.9999188
PSX000561529A,0.9999188
PSX000865733A,0.9999188
PSX000478729A,0.9999188
PSX000597037A,0.9999188
PSX000635381A,0.9999188
PSX000858707A,0.9999188
PSX000296918B,0.9999188
PSX000607677A,0.9999188
PSX000873296A,0.9999188
PSX00040786A,0.9999188
PSX000744716A,0.9999188
PSX000365706A,0.9999188
PSX00040104B,0.9999188
PSX000424830C,0.9999188
PSX0008005A,0.9999188
PSX00077161A,0.9999188
PSX000679226A,0.9999188
PSX000369723A,0.9999188
PSX000359401A,0.9999188
